source,headline,url,published_at
guardian,US supreme court clears way for deportations of eight men to South Sudan,https://www.theguardian.com/us-news/2025/jul/03/us-supreme-court-south-sudan,2025-07-03T21:28:28Z
guardian,"Two tourists from UK and New Zealand killed by elephant, Zambian police say",https://www.theguardian.com/world/2025/jul/03/two-tourists-uk-and-new-zealand-killed-by-elephant-zambia,2025-07-03T17:12:19Z
guardian,Alleged organiser of shooting of Colombian senator caught by police,https://www.theguardian.com/world/2025/jul/05/alleged-organiser-of-shooting-of-colombian-senator-caught-by-police,2025-07-05T19:03:51Z
guardian,"Allez, allez, allez! Quebec says sports fans can cheer ‘go!’ in English at provincial sports games",https://www.theguardian.com/world/2025/jul/04/quebec-canada-english-language,2025-07-04T19:43:29Z
guardian,Suriname expected to elect first female president amid discovery of oil reserves,https://www.theguardian.com/world/2025/jul/04/suriname-first-female-president,2025-07-04T16:27:40Z
guardian,El Salvador’s president denies that Kilmar Ábrego García was abused in notorious prison,https://www.theguardian.com/us-news/2025/jul/04/kilmar-abrego-garcia-torture-el-salvador-prison,2025-07-04T14:25:28Z
guardian,"Countries must protect human right to a stable climate, court rules",https://www.theguardian.com/environment/2025/jul/03/countries-must-protect-human-right-to-a-stable-climate-court-rules,2025-07-03T21:53:26Z
guardian,Is Trump tariff deal really a win for Vietnam – or a way of punishing China?,https://www.theguardian.com/world/2025/jul/07/vietnam-trump-tariff-deal,2025-07-07T00:20:20Z
guardian,"Trump to start TikTok sale talks with China, he says, with deal ‘pretty much’ reached",https://www.theguardian.com/technology/2025/jul/05/trump-to-start-tiktok-sale-talks-with-china-he-says-with-deal-pretty-much-reached,2025-07-05T06:22:13Z
guardian,‘Will AI take my job?’ A trip to a Beijing fortune-telling bar to see what lies ahead,https://www.theguardian.com/world/2025/jul/05/trip-beijng-fortune-telling-bar-china,2025-07-05T04:00:01Z
guardian,Rescuers racing to find survivors after ferry bound for Bali carrying 65 people sinks,https://www.theguardian.com/world/2025/jul/03/bali-ferry-sinking-indonesia,2025-07-03T13:38:55Z
guardian,"A new style, tariff trouble, and no mention of Yoon: key takeaways from two hours with South Korea’s new president",https://www.theguardian.com/global/2025/jul/03/lee-jae-myung-key-takeaways-two-hours-south-korea-president,2025-07-03T08:49:25Z
guardian,Australia mushroom trial verdicts live: Erin Patterson expressionless in court as jury finds her guilty of murders and attempted murder,https://www.theguardian.com/australia-news/live/2025/jul/07/australia-mushroom-trial-erin-patterson-jury-verdict-live-updates-ntwnfb,2025-07-07T05:43:08Z
guardian,Australia news live: auction clearance rates remain high ahead of RBA interest rates decision,https://www.theguardian.com/australia-news/live/2025/jul/07/synagogue-melbourne-anthony-albanese-politics-chris-bowen-climate-summit-cop31-weather-ntwnfb,2025-07-07T05:36:44Z
guardian,Human rights groups urge Victoria not to adopt NSW protest permit system in response to alleged antisemitic attacks,https://www.theguardian.com/australia-news/2025/jul/07/human-rights-groups-urge-victoria-not-to-adopt-nsw-protest-permit-system-in-response-to-alleged-antisemitic-attacks,2025-07-07T05:01:04Z
guardian,Erin Patterson found guilty of murdering relatives with lunch laced with death cap mushrooms,https://www.theguardian.com/australia-news/2025/jul/07/erin-patterson-guilty-australia-mushroom-murder-trial-ntwnfb,2025-07-07T04:50:45Z
guardian,Five key moments in the murder trial of Australia’s mushroom lunch cook Erin Patterson,https://www.theguardian.com/australia-news/2025/jul/07/erin-patterson-mushroom-lunch-trial-australia-five-key-moments-ntwnfb,2025-07-07T04:45:59Z
guardian,Michael Douglas says he has ‘no real intentions’ of acting again: ‘I had to stop’,https://www.theguardian.com/film/2025/jul/07/michael-douglas-says-he-has-no-real-intentions-of-acting-again-i-had-to-stop,2025-07-07T05:16:34Z
guardian,Macron’s UK state visit underlines effort to move on from Brexit nightmare,https://www.theguardian.com/world/2025/jul/07/macron-uk-state-visit-move-on-brexit-nightmare,2025-07-07T04:00:03Z
guardian,Michael Rider evolves a winning formula in debut for Celine in Paris,https://www.theguardian.com/fashion/2025/jul/06/michael-rider-evolves-a-winning-formula-in-debut-for-celine-in-paris,2025-07-06T16:29:20Z
guardian,Paris reopens River Seine to public swimming after century-long ban,https://www.theguardian.com/world/2025/jul/06/paris-river-seine-public-swimming-after-century-long-ban,2025-07-06T14:55:49Z
guardian,Yvette Cooper hails new French tactics to reduce Channel crossings,https://www.theguardian.com/uk-news/2025/jul/06/yvette-cooper-french-tactics-channel-crossings-small-boats,2025-07-06T14:23:36Z
guardian,Netanyahu returns to White House holding all the cards in Gaza talks,https://www.theguardian.com/world/2025/jul/07/netanyahu-israel-iran-gaza-white-house-analysis,2025-07-07T04:00:01Z
guardian,Israeli strikes kill at least 38 in Gaza as ceasefire talks reach critical point,https://www.theguardian.com/world/2025/jul/06/israeli-strikes-gaza-ceasefire-talks-critical-point-netanyahu,2025-07-06T22:05:50Z
guardian,"A text, a Telegram link, then an offer of money: how Iran sought to recruit spies in Israel",https://www.theguardian.com/world/2025/jul/06/how-iran-sought-to-recruit-spies-in-israel,2025-07-06T05:00:32Z
guardian,"Israel sends team to Qatar for negotiations, but rejects Hamas demands to change ceasefire proposal",https://www.theguardian.com/world/2025/jul/05/israel-airstrikes-gaza-hamas-ceasefire-talks,2025-07-06T04:15:50Z
guardian,"Britain re-establishing relations with Syria, announces David Lammy",https://www.theguardian.com/world/2025/jul/05/britain-re-establishing-diplomatic-relations-with-syria-announces-david-lammy,2025-07-05T17:20:18Z
guardian,Lion’s owners arrested after woman and children injured in attack in Pakistan,https://www.theguardian.com/world/2025/jul/06/lion-owners-arrested-lahore-pakistan-woman-children-injured-attack,2025-07-06T17:44:19Z
guardian,Taliban praise Russia’s ‘brave decision’ to recognise their rule in Afghanistan,https://www.theguardian.com/world/2025/jul/03/taliban-praise-russias-brave-decision-to-recognise-their-rule-in-afghanistan,2025-07-03T22:06:19Z
guardian,Prada accused of cashing in on Indian culture with Kolhapuri-inspired sandals,https://www.theguardian.com/world/2025/jun/30/prada-accused-of-cashing-in-on-indian-culture-with-kolhapuri-inspired-sandals,2025-06-30T18:48:03Z
guardian,At least 32 people killed as flash floods hit northern Pakistan,https://www.theguardian.com/world/2025/jun/28/at-least-32-people-killed-after-heavy-rain-causes-flash-flooding-in-northern-pakistan,2025-06-28T13:55:06Z
guardian,Pakistan debates Trump Nobel peace prize nomination after US strikes on Iran,https://www.theguardian.com/world/2025/jun/25/pakistan-trump-nobel-peace-prize-nomination-iran-strikes,2025-06-25T17:05:27Z
guardian,Dance routines and ‘tenniscore’: how Wimbledon is seeking new fans online,https://www.theguardian.com/sport/2025/jul/07/dance-routines-tenniscore-wimbledon-social-media-tiktok,2025-07-07T05:00:03Z
guardian,‘It’s going a bit too far’: locals criticise Wimbledon expansion plans before judicial review,https://www.theguardian.com/sport/2025/jul/07/locals-criticise-wimbledon-expansion-plans-before-judicial-review,2025-07-07T05:00:03Z
